rank_retrieval,smiles,raw_cosine,retrieval_score,full_pipeline_score,rank_final,is_ground_truth
1,CN(C)CC1CCCCC1=O,0.9662,1.0,0.8937,1.0,False
2,Oc1ccc(C2CCCCC2)cc1Br,0.9811,1.0,0.8923,3.0,False
3,C=C(CC)CCC=C(C)C,0.961,1.0,,,
4,c1ccc(CNCC2CC2)cc1,0.9655,1.0,,,
5,c1ccc(OP(Oc2ccccc2)c2ccccc2)cc1,0.9592,1.0,,,
6,N#Cc1c[nH][nH]c1=N,0.965,1.0,0.8927,2.0,False
7,Cc1ccc2c(c1)C1(CCN(Cc3ccccc3)CC1)C(=O)O2,0.9584,1.0,,,
8,C=C1CCC(C(C)C)CC1,0.9528,1.0,,,
9,OC(c1ccccn1)(C1CC1)C1CC1,0.976,1.0,0.8884,5.0,False
10,CC(C)CNCC(C)C,0.9564,1.0,,,
