wavenumber,intensity
400.0,0.0
404.0,0.0
408.0,0.0
412.0,0.0
416.0,0.0
420.0,0.0
424.0,0.0
428.0,0.0
432.0,0.0
436.0,0.0
440.0,0.0
444.0,0.0
448.0,0.0
452.0,0.0
456.0,0.0
460.0,0.0
464.0,0.0
468.0,0.0
472.0,0.0
476.0,0.0
480.0,0.0
484.0,0.0
488.0,0.0
492.0,0.0
496.0,0.0
500.0,0.0
504.0,0.0
508.0,0.0
512.0,0.0
516.0,0.0
520.0,0.0
524.0,0.0
528.0,0.0
532.0,0.0
536.0,0.0
540.0,0.0
544.0,0.0
548.0,0.0
552.0,0.0
556.0,0.0
560.0,0.0
564.0,0.0
568.0,0.0
572.0,0.0
576.0,0.0
580.0,0.0
584.0,0.0
588.0,0.0
592.0,0.0
596.0,0.0
600.0,0.0
604.0,0.0
608.0,0.0
612.0,0.0
616.0,0.0
620.0,0.0
624.0,0.0
628.0,0.0
632.0,0.0
636.0,0.0
640.0,0.0
644.0,0.0
648.0,0.0
652.0,0.0
656.0,0.0
660.0,0.0
664.0,0.0
668.0,0.0
672.0,0.0
676.0,0.0
680.0,0.0
684.0,0.0
688.0,0.0
692.0,0.0
696.0,0.0
700.0,0.0
704.0,0.0
708.0,0.0
712.0,0.0
716.0,0.0
720.0,0.0
724.0,0.0
728.0,0.0
732.0,0.0
736.0,0.0
740.0,0.0
744.0,0.0
748.0,0.0
752.0,0.0
756.0,0.0
760.0,0.0
764.0,0.0
768.0,0.0
772.0,0.0
776.0,0.0
780.0,0.0
784.0,0.0
788.0,0.0
792.0,0.0
796.0,0.0
800.0,0.0
804.0,1.864790080835619e-18
808.0,5.594370242506858e-18
812.0,1.1188740485013716e-17
816.0,2.7971851212534285e-17
820.0,6.526765282924667e-17
824.0,1.5291278662852077e-16
828.0,3.5431011535876764e-16
832.0,8.074541050018231e-16
836.0,1.825629489138071e-15
840.0,4.083890277030006e-15
844.0,9.044231892052754e-15
848.0,1.982831292952514e-14
852.0,4.303935506568609e-14
856.0,9.248985842928503e-14
860.0,1.9678383807025956e-13
864.0,4.1451299832846476e-13
868.0,8.644588729828871e-13
872.0,1.7848763667114896e-12
876.0,3.648618435521679e-12
880.0,7.384246111425067e-12
884.0,1.479588039476737e-11
888.0,2.935165041872634e-11
892.0,5.764760960647018e-11
896.0,1.1209523011027604e-10
900.0,2.1579929459791868e-10
904.0,4.1131065399592833e-10
908.0,7.761523130602613e-10
912.0,1.4500434205804455e-09
916.0,2.682082381943052e-09
920.0,4.911569287327006e-09
924.0,8.904827107710262e-09
928.0,1.598408438651151e-08
932.0,2.840580430806367e-08
936.0,4.997852940685447e-08
940.0,8.705964873263299e-08
944.0,1.5014379996963529e-07
948.0,2.5636276734367894e-07
952.0,4.333707084496903e-07
956.0,7.253059032132343e-07
960.0,1.201821379530086e-06
964.0,1.971585856781016e-06
968.0,3.2022004763732155e-06
972.0,5.149183829203992e-06
976.0,8.197573717282208e-06
980.0,1.2920797498638359e-05
984.0,2.016277781896662e-05
988.0,3.1150746896146986e-05
992.0,4.764788401770805e-05
996.0,7.21565614123095e-05
1000.0,0.00010818451292098149
1004.0,0.00016058738068240106
1008.0,0.00023600151449361436
1012.0,0.00034338017742518035
1016.0,0.0004946439557018999
1020.0,0.0007054516403796598
1024.0,0.0009960906050298084
1028.0,0.0013924752841133134
1032.0,0.0019272284669865582
1036.0,0.0026408027512357375
1040.0,0.0035825790403461173
1044.0,0.0048118563411899025
1048.0,0.006398623847337323
1052.0,0.008423984572051997
1056.0,0.010980082430872222
1060.0,0.014169374971409333
1064.0,0.01810309545892992
1068.0,0.02289876418847151
1072.0,0.028676642568319678
1076.0,0.03555507645781126
1080.0,0.04364474754686445
1084.0,0.05304194121138039
1088.0,0.06382104179324435
1092.0,0.07602657462628447
1096.0,0.08966521904285392
1100.0,0.10469830700882916
1104.0,0.12103538612350562
1108.0,0.13852945211937276
1112.0,0.15697443523017648
1116.0,0.17610545074072198
1120.0,0.19560219520876138
1124.0,0.21509569033817091
1128.0,0.23417835627860303
1132.0,0.25241715080210275
1136.0,0.2693692604308746
1140.0,0.2845995969581236
1144.0,0.2976991611360471
1148.0,0.3083032056656085
1152.0,0.316108078376038
1156.0,0.3208856631270662
1160.0,0.3224944616612111
1164.0,0.32088656664194426
1168.0,0.3161100483013634
1172.0,0.3083065914679508
1176.0,0.2977045487174442
1180.0,0.28460788988191615
1184.0,0.2693818006262851
1188.0,0.2524358902286699
1192.0,0.2342060949305113
1196.0,0.21513640049339136
1200.0,0.19566145703022686
1204.0,0.17619103021121668
1208.0,0.15709704186578924
1212.0,0.13870372077201532
1216.0,0.1212811341356468
1220.0,0.10504212455258465
1224.0,0.09014245601293948
1228.0,0.0766837911228937
1232.0,0.06471898999558169
1236.0,0.05425914310086655
1240.0,0.045281724156264
1244.0,0.03773926870706952
1248.0,0.031568039957715364
1252.0,0.026696224503213673
1256.0,0.02305129540749806
1260.0,0.0205662781018772
1264.0,0.019184747278532897
1268.0,0.018864464283165572
1272.0,0.019579631120328678
1276.0,0.021321788283285768
1280.0,0.024099420558136405
1284.0,0.027936360629176062
1288.0,0.03286909849711778
1292.0,0.03894311936812924
1296.0,0.046208407306423845
1300.0,0.05471426917379221
1304.0,0.06450365455732586
1308.0,0.07560717244198546
1312.0,0.08803703283471197
1316.0,0.10178116866466032
1320.0,0.11679781640818211
1324.0,0.13301084883937875
1328.0,0.1503061558835981
1332.0,0.16852935604196995
1336.0,0.18748508854453208
1340.0,0.20693808399141736
1344.0,0.2266161392203833
1348.0,0.24621503287853977
1352.0,0.2654053159670494
1356.0,0.2838408024592954
1360.0,0.30116847625638155
1364.0,0.3170394302692043
1368.0,0.3311203693926974
1372.0,0.3431051489743648
1376.0,0.3527257900818945
1380.0,0.3597624164139499
1384.0,0.3640515965382699
1388.0,0.3654926479874853
1392.0,0.3640515625442364
1396.0,0.3597623382601341
1400.0,0.35272564485170504
1404.0,0.3431048952976327
1408.0,0.33111993747955404
1412.0,0.31703870575361803
1416.0,0.3011672748727604
1420.0,0.28383883113822345
1424.0,0.26540211396867947
1428.0,0.24620988391645107
1432.0,0.22660794197280804
1436.0,0.20692516374128636
1440.0,0.18746492672224274
1444.0,0.1684982069734349
1448.0,0.15025851093613543
1452.0,0.1329386973812541
1456.0,0.11668964069698719
1460.0,0.10162059634632058
1464.0,0.08780105689408597
1468.0,0.07526383534417458
1472.0,0.06400908259898196
1476.0,0.054008936913001376
1480.0,0.045212513088150774
1484.0,0.037550964609726914
1488.0,0.030942389047735795
1492.0,0.025296391693211382
1496.0,0.02051817052133407
1500.0,0.016512033546506842
1504.0,0.013184304465784077
1508.0,0.010445611942766315
1512.0,0.008212590530667961
1516.0,0.006409046401407568
1520.0,0.004966658737804668
1524.0,0.0038252983946328516
1528.0,0.0029330501589070962
1532.0,0.002246024781218953
1536.0,0.0017280431251031384
1540.0,0.00135026845674161
1544.0,0.0010908550887588253
1548.0,0.0009346730941556154
1552.0,0.0008731601511179888
1556.0,0.0009043430197902476
1560.0,0.0010330626718654098
1564.0,0.001271428436758949
